GmlId,OBJECTID,ID,IDAUTORIZACION,IDTIPO,TIPO,CODIGO,DESCRIPCION,COORESTE,COORNORTE,ZONA,RAZONSOCIAL,DISTRITO,PROVINCIA,DEPARTAMENTO,LOCALIDAD,RESOLUCION,ESTADORD,AAA,ALA,RESENLACERD,OPERACION,VIGENCIA,FECHAINICIO,FECHAVENCIMIENTO,FECHAEMISION,CUERPOAGUA,CAUDAL,VOLUMEN,REGIMEN,TIPOAGUARESIDUAL,CodigoUH,NombreUH,LATLON,ESTANDARCALIDADTIPO,ESTANDARCALIDAD,ESTANDARCATEGORIA,PARAMETROS,FRECUENCIAREPORTE,FRECUENCIAMONITOREO,ESRI_OID,Shape
Vertimientos.1,1,36742.00000000,12919.00000000,2.00000000,"Punto de Control","A-9B","Punto de Control de la quebrada Tres Amigos, aguas abajo del vertimiento E1-C",758650.25000000,9254703.52000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","49897","","-6.73694,-78.6602","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Berilio, Bicarbonatos, Boro total, Cadmio total, Cianuro WAD, Cloruros, Cobalto total, Cobre total, Coliformes Termotolerantes (44,5°C), Color después de la filtración simple, Conductividad Eléctrica, Cromo Hexavalente, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Detergentes (SAAM), Escherichia Coli, Fenoles, Fluoruros, Hierro disuelto, Hierro total, Huevos de Helmintos, Litio, Magnesio, Manganeso total, Mercurio total, Níquel total, Nitratos, Nitritos, Oxigeno Disuelto, pH, Plomo total, Selenio, Sulfatos, Temperatura, Zinc total","Mensual","Mensual",1,"POINT (-78.66015900 -6.73701200)"
Vertimientos.1,2,36741.00000000,12919.00000000,2.00000000,"Punto de Control","A-9A","Punto de Control de la quebrada Tres Amigos, aguas arriba del vertimiento E-1C",758573.35000000,9254746.44000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","49897","","-6.73655,-78.6609","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Berilio, Bicarbonatos, Boro total, Cadmio total, Cianuro WAD, Cloruros, Cobalto total, Cobre total, Coliformes Termotolerantes (44,5°C), Color después de la filtración simple, Conductividad Eléctrica, Cromo Hexavalente, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Detergentes (SAAM), Escherichia Coli, Fenoles, Fluoruros, Hierro disuelto, Hierro total, Huevos de Helmintos, Litio, Magnesio, Manganeso total, Mercurio total, Níquel total, Nitratos, Nitritos, Oxigeno Disuelto, pH, Plomo total, Selenio, Sulfatos, Temperatura, Zinc total","Mensual","Mensual",1,"POINT (-78.66085600 -6.73662800)"
Vertimientos.1,3,36739.00000000,12859.00000000,2.00000000,"Punto de Control","A-19B","Quebrada Tacamache, aguas abajo del punto de efluente E-6",753755.00000000,9255866.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","13776","","-6.72664,-78.7045","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Arsénico total, Cadmio total, Cobre total, Coliformes Termotolerantes (44,5°C), Conductividad Eléctrica, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Escherichia Coli, Hierro total, Huevos de Helmintos, Mercurio total, Oxigeno Disuelto, pH, Plomo total, Temperatura, Zinc total","Semestral","Semestral",1,"POINT (-78.70446800 -6.72671500)"
Vertimientos.1,4,36738.00000000,12859.00000000,2.00000000,"Punto de Control","A-19A","Quebrada Tacamache, aguas arriba del punto de efluente E-6",753983.00000000,9255785.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","13776","","-6.72736,-78.7025","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Arsénico total, Cadmio total, Cobre total, Coliformes Termotolerantes (44,5°C), Conductividad Eléctrica, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Escherichia Coli, Hierro total, Huevos de Helmintos, Mercurio total, Oxigeno Disuelto, pH, Plomo total, Temperatura, Zinc total","Semestral","Semestral",1,"POINT (-78.70240300 -6.72743700)"
Vertimientos.1,5,36736.00000000,13059.00000000,2.00000000,"Punto de Control","A-26","Quebrada Tacamache, aguas abajo del punto de vertimiento E-4.",753366.00000000,9256393.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","13776","","-6.72189,-78.7081","ECA","D.S. N° 015-2015-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Boro total, Cadmio total, Cianuro Total, Cianuro WAD, Cobre total, Conductividad Eléctrica, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Hierro total, Manganeso total, Mercurio total, Níquel total, Nitratos, Oxigeno Disuelto, pH, Plomo total, Sulfatos, Temperatura, Zinc total","Trimestral","Mensual",1,"POINT (-78.70800700 -6.72196800)"
Vertimientos.1,6,36735.00000000,13059.00000000,2.00000000,"Punto de Control","A-23","Quebrada Tacamache, aguas arriba del punto de vertimiento E-4",753567.00000000,9256151.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","13776","","-6.72407,-78.7063","ECA","D.S. N° 015-2015-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Boro total, Cadmio total, Cianuro Total, Cianuro WAD, Cobre total, Conductividad Eléctrica, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Hierro total, Manganeso total, Mercurio total, Níquel total, Nitratos, Oxigeno Disuelto, pH, Plomo total, Sulfatos, Temperatura, Zinc total","Trimestral","Mensual",1,"POINT (-78.70618000 -6.72414700)"
Vertimientos.1,7,36730.00000000,12809.00000000,2.00000000,"Punto de Control","A-8","Laguna Los Gentiles",758068.00000000,9255073.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","49897","","-6.73362,-78.6655","ECA","D.S. N° 002-2008-MINAM","Categoría 4: Conservación del ambiente acuático, Subcategoría: Lagunas y lagos"," Aceites y grasas (MEH), Arsénico total, Bario, Cadmio total, Cobre total, Cromo Hexavalente, Demanda Bioquímica de Oxígeno en cinco días, Mercurio total, Níquel total, Oxigeno Disuelto, pH, Plomo total, Silicatos, Sólidos Disueltos Totales, Sólidos Suspendidos Totales, Sulfuro de Hidrógeno, Zinc total","Trimestral","Mensual",1,"POINT (-78.66543900 -6.73369800)"
Vertimientos.1,8,36729.00000000,12809.00000000,2.00000000,"Punto de Control","A-11A","Quebrada Puente La Hierba, aguas arriba del vertimiento E-2",756454.00000000,9253640.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","49897","","-6.74665,-78.68","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Berilio, Bicarbonatos, Boro total, Cadmio total, Cianuro WAD, Cloruros, Cobalto total, Cobre total, Coliformes Termotolerantes (44,5°C), Color después de la filtración simple, Conductividad Eléctrica, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Detergentes (SAAM), Escherichia Coli, Fenoles, Fluoruros, Hierro total, Huevos de Helmintos, Litio, Magnesio, Manganeso total, Mercurio total, Níquel total, Nitratos, Nitritos, Oxigeno Disuelto, pH, Plomo total, Selenio, Sulfatos, Temperatura, Zinc total","Trimestral","Mensual",1,"POINT (-78.67997000 -6.74672000)"
Vertimientos.1,9,36728.00000000,12809.00000000,2.00000000,"Punto de Control","A-12","Quebrada Puente La Hierba, aguas abajo del vertimiento E-2 y aguas arriba del vertimiento E-1B",756454.00000000,9253640.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","49897","","-6.74665,-78.68","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Berilio, Bicarbonatos, Boro total, Cadmio total, Cianuro WAD, Cloruros, Cobalto total, Cobre total, Coliformes Termotolerantes (44,5°C), Color después de la filtración simple, Conductividad Eléctrica, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Detergentes (SAAM), Escherichia Coli, Fenoles, Fluoruros, Hierro total, Huevos de Helmintos, Litio, Magnesio, Manganeso total, Mercurio total, Níquel total, Nitratos, Nitritos, Oxigeno Disuelto, pH, Plomo total, Selenio, Sulfatos, Temperatura, Zinc total","Trimestral","Mensual",1,"POINT (-78.67997000 -6.74672000)"
Vertimientos.1,10,36727.00000000,12809.00000000,2.00000000,"Punto de Control","A-30","Quebrada Puente La Hierba, aguas abajo del vertimiento E-1B",756977.00000000,9253045.00000000,"17","","","","","","","","","","","","","","","","",0.00000000,0.00000000,"","","49897","","-6.752,-78.6753","ECA","D.S. N° 004-2017-MINAM","Categoría 3: Riego de vegetales y bebida de animales"," Aceites y grasas (MEH), Aluminio total, Arsénico total, Bario, Berilio, Bicarbonatos, Boro total, Cadmio total, Cianuro WAD, Cloruros, Cobalto total, Cobre total, Coliformes Termotolerantes (44,5°C), Color después de la filtración simple, Conductividad Eléctrica, Cromo total, Demanda Bioquímica de Oxígeno en cinco días, Demanda Química de Oxigeno, Detergentes (SAAM), Escherichia Coli, Fenoles, Fluoruros, Hierro total, Huevos de Helmintos, Litio, Magnesio, Manganeso total, Mercurio total, Níquel total, Nitratos, Nitritos, Oxigeno Disuelto, pH, Plomo total, Selenio, Sulfatos, Temperatura, Zinc total","Trimestral","Mensual",1,"POINT (-78.67521600 -6.75207500)"
